Season,League,Official Borda,Borda-Top1,Ranks-Top1,Borda-Top3,Ranks-Top3,Borda-Top5,Ranks-Top5,Borda-Top10,Ranks-Top10,Dowdall,Ranks-Dowdall
2012,AL,"Cabrera, Trout, Beltre","Cabrera, Trout","1, 2","Cabrera, Trout, Beltre","1, 2, 3","Cabrera, Trout, Beltre","1, 2, 3","Cabrera, Trout, Beltre","1, 2, 3","Cabrera, Trout, Beltre","1, 2, 3"
2012,NL,"Posey, Braun, McCutchen","Posey, Braun, Molina","1, 2, 4","Posey, Braun, Molina","1, 2, 4","Posey, Braun, McCutchen","1, 2, 3","Posey, Braun, McCutchen","1, 2, 3","Posey, Braun, Molina","1, 2, 4"
2013,AL,"Cabrera, Trout, DavisC","Cabrera, Trout, Donaldson","1, 2, 4","Cabrera, Trout, DavisC","1, 2, 3","Cabrera, Trout, DavisC","1, 2, 3","Cabrera, Trout, DavisC","1, 2, 3","Cabrera, Trout, DavisC","1, 2, 3"
2013,NL,"McCutchen, Goldschmidt, Molina","McCutchen, Molina","1, 3","McCutchen, Goldschmidt, Molina","1, 2, 3","McCutchen, Goldschmidt, Molina","1, 2, 3","McCutchen, Goldschmidt, Molina","1, 2, 3","McCutchen, Goldschmidt, Molina","1, 2, 3"
2014,AL,"Trout, Martinez, Brantley",Trout,1,"Trout, Martinez, Brantley","1, 2, 3","Trout, Martinez, Brantley","1, 2, 3","Trout, Martinez, Brantley","1, 2, 3","Trout, Martinez, Brantley","1, 2, 3"
2014,NL,"Kershaw, Stanton, McCutchen","Kershaw, Stanton, McCutchen","1, 2, 3","Kershaw, Stanton, McCutchen","1, 2, 3","Kershaw, Stanton, McCutchen","1, 2, 3","Kershaw, Stanton, McCutchen","1, 2, 3","Kershaw, Stanton, McCutchen","1, 2, 3"
2015,AL,"Donaldson, Trout, Cain","Donaldson, Trout","1, 2","Donaldson, Trout, Cain","1, 2, 3","Donaldson, Trout, Cain","1, 2, 3","Donaldson, Trout, Cain","1, 2, 3","Donaldson, Trout, Cain","1, 2, 3"
2015,NL,"Harper, Goldschmidt, Votto",Harper,1,"Harper, Goldschmidt, Arrieta","1, 2, 6","Harper, Goldschmidt, Votto","1, 2, 3","Harper, Goldschmidt, Votto","1, 2, 3","Harper, Goldschmidt, Votto","1, 2, 3"
2016,AL,"Trout, Betts, Altuve","Trout, Betts, Beltre","1, 2, 7","Trout, Betts, Altuve","1, 2, 3","Trout, Betts, Altuve","1, 2, 3","Trout, Betts, Altuve","1, 2, 3","Trout, Betts, Altuve","1, 2, 3"
2016,NL,"Bryant, Murphy, Seager","Bryant, Murphy","1, 2","Bryant, Murphy, Seager","1, 2, 3","Bryant, Murphy, Seager","1, 2, 3","Bryant, Murphy, Seager","1, 2, 3","Bryant, Murphy, Seager","1, 2, 3"
