Teams,Borda Points
alabama-crimson-tide,1525
clemson-tigers,1454
notre-dame-fighting-irish,1400
lsu-tigers,1327
michigan-wolverines,1250
texas-longhorns,1186
georgia-bulldogs,1136
oklahoma-sooners,1065
florida-gators,998
ucf-knights,996
ohio-state-buckeyes,985
kentucky-wildcats,754
west-virginia-mountaineers,747
washington-state-cougars,692
washington-huskies,677
texas-am-aggies,622
penn-state-nittany-lions,528
iowa-hawkeyes,489
oregon-ducks,450
wisconsin-badgers,357
south-florida-bulls,291
north-carolina-state-wolfpack,186
utah-utes,180
stanford-cardinal,144
appalachian-state-mountaineers,79
texas-tech-red-raiders,54
utah-state-aggies,50
san-diego-state-aztecs,48
fresno-state-bulldogs,35
miami-fl-hurricanes,34
virginia-cavaliers,25
houston-cougars,19
purdue-boilermakers,17
michigan-state-spartans,8
cincinnati-bearcats,7
auburn-tigers,5
boston-college-eagles,2
mississippi-state-bulldogs,2
uab-blazers,1
