Teams,Borda Points
georgia-bulldogs,1534
michigan-wolverines,1465
ohio-state-buckeyes,1385
florida-state-seminoles,1368
oklahoma-sooners,1256
penn-state-nittany-lions,1253
washington-huskies,1220
oregon-ducks,1132
texas-longhorns,1036
usc-trojans,982
alabama-crimson-tide,956
north-carolina-tar-heels,880
ole-miss-rebels,736
louisville-cardinals,718
oregon-state-beavers,714
utah-utes,562
duke-blue-devils,474
ucla-bruins,435
tennessee-volunteers,411
washington-state-cougars,407
notre-dame-fighting-irish,366
lsu-tigers,324
kansas-jayhawks,106
kentucky-wildcats,97
missouri-tigers,75
air-force-falcons,46
wyoming-cowboys,42
wisconsin-badgers,41
tulane-green-wave,28
west-virginia-mountaineers,27
clemson-tigers,17
maryland-terrapins,11
james-madison-dukes,9
iowa-hawkeyes,8
texas-am-aggies,5
