Teams,Borda Points
georgia-bulldogs,1534
michigan-wolverines,1465
ohio-state-buckeyes,1385
florida-state-seminoles,1368
oklahoma-sooners,1256
penn-state-nittany-lions,1253
washington-huskies,1220
oregon-ducks,1132
texas-longhorns,1037
usc-trojans,987
alabama-crimson-tide,959
north-carolina-tar-heels,887
ole-miss-rebels,767
oregon-state-beavers,753
utah-utes,605
duke-blue-devils,527
ucla-bruins,490
washington-state-cougars,460
tennessee-volunteers,459
notre-dame-fighting-irish,420
lsu-tigers,369
kansas-jayhawks,133
kentucky-wildcats,122
miami-fl-hurricanes,97
missouri-tigers,92
air-force-falcons,58
wyoming-cowboys,57
wisconsin-badgers,56
west-virginia-mountaineers,38
tulane-green-wave,36
clemson-tigers,24
maryland-terrapins,15
james-madison-dukes,11
iowa-hawkeyes,10
texas-am-aggies,6
